# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	35.7542164551	61.1018433352	56.8343666736	40.5443560039	63.7945915493
5.0	34.9567934704	60.4604033199	58.8635027954	42.0912134764	64.0500145997
10.0	35.1070800214	60.5329461921	58.9394346884	41.2245754551	63.6952595402
15.0	35.2629230836	61.2780599805	58.7266593062	40.1606914013	62.936238742
20.0	35.0291945608	61.6087366528	60.5725021503	42.3273370359	61.1951786094
25.0	34.2816574998	62.3802796799	60.6179310356	40.6222787329	62.048296568
30.0	34.6649196238	61.5478734199	61.3489048348	37.5300019516	61.7655728864
35.0	34.6976671284	63.0641622977	61.1199386225	42.9974303743	59.8430516569
40.0	33.9436287781	62.4556024054	62.2454099399	38.972297498	61.3493550716
45.0	34.6040764269	62.5409214793	60.0653157556	40.7010659156	61.732331216
50.0	34.9457019985	62.1240247476	60.7899856638	42.1534318838	60.6684283843
55.0	35.2477310772	62.325488088	59.8288805646	38.5108770257	61.0922407354
60.0	34.8113468705	61.7734442306	61.6475438318	40.7519259363	60.6561199272
65.0	34.4700823972	63.7207023212	59.5629920658	40.2914830886	61.3135597905
70.0	34.6056721095	62.0610069227	61.1869073204	43.5539677528	60.9142417568
75.0	35.1674998919	61.1887903003	62.1119775271	39.184048271	60.2673250536
80.0	35.0397211118	62.0587547168	63.9751628168	41.4197490705	57.7524278518
85.0	34.8825321351	62.6700055168	62.1000190826	42.8500017817	59.0001721451
90.0	34.7343154977	64.6498153661	60.2261745388	41.1854702898	59.1697125713
95.0	34.3598287168	62.4510235159	62.0148688737	39.8360731162	60.6426539315
100.0	34.685477474	63.6661995802	59.7994471252	42.4958200457	60.5039775878
105.0	35.1043768636	62.4188491876	60.2280808462	41.4546553578	60.6319204075
110.0	35.1326700814	62.9818342643	59.6415565665	42.5985425695	60.4258252992
115.0	34.5304867225	63.7967252358	60.2346184633	47.6455894143	59.7768470439
120.0	34.2431300996	62.2408739653	60.4438139104	45.0016186497	61.9834957545
125.0	35.3655771763	63.7475448971	59.7215206411	43.6686717367	59.0153271752
130.0	35.0636012684	65.2807014752	61.5133239705	42.9632741551	56.5440823159
135.0	34.4182098269	63.7885071533	61.4617462891	45.5202850648	59.1176552439
140.0	35.6879047951	64.4182609414	58.7627394202	43.7858049947	58.5511394817
145.0	35.1781738939	64.1790865252	60.6199239407	41.148111282	58.4020667197
150.0	35.5870076608	62.2402141329	60.5287156297	42.2377926342	59.4964456188
155.0	34.474371027	66.9444085073	58.1300444298	37.544014149	59.6457582248
160.0	35.3423001776	64.4080471958	59.1553018862	40.8242504257	59.1953828452
165.0	35.023481945	64.4739946106	58.8937800517	42.3675989757	59.8480814257
170.0	35.2177669801	63.7507565881	58.4600903413	42.5034466877	60.5594747991
175.0	34.6999284863	64.1959098754	59.7756818515	44.3559162477	59.7807965713
180.0	34.044363045	64.904227401	61.391685441	37.3214425274	59.6326096537
185.0	33.3118456416	63.3824801993	60.7229045151	39.0775205838	63.0457785502
190.0	34.4572096793	64.792848235	59.5309338036	37.3808056666	60.5871897682
195.0	33.6729996541	65.9991335625	60.9756137197	41.8627060489	59.2008361329
