# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
0.0	57.693	57.693	94.1792	90.0	90.0	90.0	313473.562057
5.0	58.1619	58.1619	93.909	90.0	90.0	90.0	317676.192126
10.0	58.5662	58.5662	93.4036	90.0	90.0	90.0	320374.458968
15.0	58.3012	58.3012	93.6253	90.0	90.0	90.0	318235.5673
20.0	58.5238	58.5238	93.5945	90.0	90.0	90.0	320563.969455
25.0	58.6581	58.6581	93.139	90.0	90.0	90.0	320470.124676
30.0	58.3298	58.3298	94.5435	90.0	90.0	90.0	321670.972038
35.0	58.403	58.403	93.5232	90.0	90.0	90.0	318999.268951
40.0	58.5299	58.5299	93.4696	90.0	90.0	90.0	320203.866437
45.0	58.6483	58.6483	93.4058	90.0	90.0	90.0	321280.517748
50.0	58.6534	58.6534	92.6624	90.0	90.0	90.0	318778.733192
55.0	58.6722	58.6722	92.6336	90.0	90.0	90.0	318883.986207
60.0	58.4477	58.4477	93.5029	90.0	90.0	90.0	319418.018667
65.0	58.5815	58.5815	93.0971	90.0	90.0	90.0	319490.003488
70.0	58.5106	58.5106	93.2655	90.0	90.0	90.0	319293.895128
75.0	58.5311	58.5311	93.1996	90.0	90.0	90.0	319291.998267
80.0	58.7777	58.7777	92.8462	90.0	90.0	90.0	320766.130571
85.0	58.5701	58.5701	92.7314	90.0	90.0	90.0	318110.740604
90.0	58.6875	58.6875	93.1723	90.0	90.0	90.0	320906.400035
95.0	58.6491	58.6491	92.5461	90.0	90.0	90.0	318332.55534
100.0	58.631	58.631	92.7923	90.0	90.0	90.0	318982.027146
105.0	58.8688	58.8688	91.6685	90.0	90.0	90.0	317680.36136
110.0	58.8716	58.8716	92.2423	90.0	90.0	90.0	319699.253512
115.0	58.7641	58.7641	92.4628	90.0	90.0	90.0	319294.307518
120.0	58.9176	58.9176	92.0062	90.0	90.0	90.0	319379.788054
125.0	58.8017	58.8017	91.8153	90.0	90.0	90.0	317464.455873
130.0	58.9419	58.9419	92.092	90.0	90.0	90.0	319941.202141
135.0	58.9414	58.9414	92.3673	90.0	90.0	90.0	320892.18672
140.0	58.5478	58.5478	93.0531	90.0	90.0	90.0	318971.456147
145.0	58.6834	58.6834	92.494	90.0	90.0	90.0	318525.016901
150.0	58.3367	58.3367	93.4629	90.0	90.0	90.0	318070.698733
155.0	58.5283	58.5283	93.3108	90.0	90.0	90.0	319641.712124
160.0	58.3182	58.3182	93.7696	90.0	90.0	90.0	318911.807798
165.0	58.4498	58.4498	93.3382	90.0	90.0	90.0	318879.246469
170.0	58.2991	58.2991	94.1303	90.0	90.0	90.0	319929.06708
175.0	58.3994	58.3994	93.6934	90.0	90.0	90.0	319540.171466
180.0	58.3451	58.3451	94.231	90.0	90.0	90.0	320776.877621
185.0	58.1218	58.1218	93.9654	90.0	90.0	90.0	317428.868362
190.0	58.445	58.445	93.6481	90.0	90.0	90.0	319884.698453
195.0	58.664	58.664	93.2144	90.0	90.0	90.0	320794.053195
200.0	58.4572	58.4572	93.7628	90.0	90.0	90.0	320410.750334
205.0	58.4478	58.4478	93.7622	90.0	90.0	90.0	320305.588329
210.0	58.4918	58.4918	93.2495	90.0	90.0	90.0	319033.952344
215.0	58.898	58.898	91.992	90.0	90.0	90.0	319118.203227
220.0	58.9359	58.9359	91.7824	90.0	90.0	90.0	318800.432449
225.0	59.1344	59.1344	91.2562	90.0	90.0	90.0	319112.114453
230.0	58.9967	58.9967	91.4537	90.0	90.0	90.0	318314.94703
235.0	58.9545	58.9545	91.8439	90.0	90.0	90.0	319215.769249
