# Time(ps)	CHL1	POPC	POPI	POPI13	DOPC
0.0	30.2894089685	56.6828853302	57.5919057983	61.928722173	53.333613368
5.0	30.6406278999	56.4109257873	57.6199673738	58.4794232511	53.2228369873
10.0	30.2160679678	55.6103862576	58.1569549848	54.4326900628	54.7938362245
15.0	30.3256649811	55.8541814306	56.5849679374	54.3903750717	55.7498385505
20.0	29.6831574002	57.3365564758	57.2733984789	53.32212802	55.0396616298
25.0	29.8337145773	56.7125160785	56.4292079312	56.26690652	55.8279610905
30.0	29.8971314354	55.9331242061	56.5296400359	61.8201031068	55.834772105
35.0	30.1517717091	56.4395717473	56.346329282	55.7706368602	55.5889495699
40.0	29.5312491709	57.2789050389	56.1640544385	60.2890330625	55.7029129232
45.0	29.7375174698	56.6896960858	56.9451600086	64.9589444807	54.709643056
50.0	29.8656221677	56.4941329859	55.2015681638	67.5249064633	55.9615999368
55.0	30.204021021	55.6854706327	56.8372277308	63.8095756487	54.9928415606
60.0	30.2587564798	56.3578658467	56.2496198005	66.4589495761	54.4749874977
65.0	29.6374354465	54.9577791463	56.2390306118	66.6327736662	57.1098791036
70.0	29.7148053624	55.66673856	55.3372969671	69.8973902367	56.7312192443
75.0	29.4742364191	56.8513430956	55.715590756	66.660447134	56.0110601268
80.0	30.0275234425	56.8357721798	55.9015164568	66.9660872989	54.7220807745
85.0	30.8151095443	55.7732683284	54.4986089439	67.1063441862	55.4580252015
90.0	30.1370948517	56.8309147244	56.1327176021	63.0466016587	54.6915954218
95.0	29.6025317205	57.4524119486	56.5959159224	65.9244082612	54.4346337739
100.0	29.7359469727	56.573316979	57.607242414	70.1489864036	53.7142474441
105.0	29.4962581369	56.2977435019	56.2106843448	66.3392483896	56.1071472758
110.0	30.231097168	56.354932194	56.1067616274	66.2348323324	54.6841559638
115.0	30.1295509386	57.0711445186	57.1357313798	64.8498331474	53.3835191435
120.0	30.2695338325	55.7668816936	56.6621405699	65.4175826751	54.7772645372
125.0	30.481041049	56.3618229761	56.223759394	63.5187747338	54.3436292128
130.0	31.0569913322	57.1495617437	55.9560101455	60.2859777896	52.9683668118
135.0	30.2614715591	57.594716639	55.2815049231	61.8971681962	54.5601718815
140.0	30.3004936352	56.9247642713	55.7006491461	65.0798491588	54.4565276156
145.0	30.6908045672	57.377006071	55.8385122329	62.5570841731	53.3519069275
150.0	30.9142278162	55.9859880171	55.6857872742	69.8076532534	53.7085460844
155.0	30.5088584037	57.1696647193	55.5823132659	62.3796474969	54.1714355428
160.0	31.0260290974	56.6915088425	55.4759936474	66.0992070754	53.3389857426
165.0	30.8918586923	56.3741852277	55.1541545803	64.5760777661	54.3666611209
170.0	31.0351073756	56.0437699115	55.5087129196	67.412589619	53.8078089602
175.0	30.8586744569	56.1759688455	56.0617979769	67.1527452756	53.5566418755
180.0	30.4177077102	55.3772087793	56.6910221663	61.3012536434	55.2561308726
185.0	30.7159229188	56.0380813579	57.2948704706	57.6269129704	53.8229331373
190.0	30.3718971354	55.0530789948	56.0399770244	65.517649831	55.8362924736
195.0	30.401002972	56.8983479711	55.1932928674	63.819798146	54.8645496005
200.0	31.062565279	55.3226199916	56.8161314129	60.2399204092	54.0146255542
205.0	31.2125392805	54.7244280718	54.6057097068	64.4061510413	55.8855790943
210.0	30.8082110109	55.0567751752	54.9703234028	59.8079256445	56.4935775202
215.0	30.8054125842	54.5945952238	55.4751597235	57.8641727239	56.7014120438
220.0	30.457114275	53.9854303112	55.5296979122	60.1611801529	57.7283141515
225.0	30.9245549009	55.1382438689	54.1353712795	63.3289835081	56.5787450923
230.0	30.7395525423	56.4977713081	54.388536168	63.3260996789	55.3616786554
235.0	30.681012999	56.1820026187	54.2840456192	64.9987429274	55.7213160648
240.0	30.4298309007	54.9757687353	54.75236329	69.492258724	56.5590425113
245.0	30.9966083563	53.8536275172	55.5652517212	64.8351426564	56.2818574163
250.0	30.3463623528	54.0288643846	56.3548263054	71.0837085886	56.0716250503
255.0	30.7569785572	53.9563599366	55.0108811296	67.5851656937	56.8822424745
260.0	31.3802571167	54.6286004814	53.8627855803	68.0052992774	55.9547600202
265.0	31.8190562624	54.599229882	53.8227287603	63.7065979851	55.5723474761
270.0	31.0895108992	53.9567294202	56.6313766325	72.7467508863	54.2421790846
275.0	31.2777554029	53.2363266143	55.3180040352	68.9659499907	56.1462119247
280.0	31.6367123758	54.5356804715	55.2819634172	69.964305303	54.0615596575
285.0	31.7202939206	54.5837996375	56.0220293386	62.2108372829	53.9556271397
290.0	31.7443386253	54.4002422092	56.7932477158	59.5161688723	53.6664179199
295.0	31.518789039	55.4785078914	54.2534608072	62.364686727	55.0402168052
300.0	32.0103924692	55.4914261709	54.6125818745	63.5489962794	53.6024722332
305.0	31.8866427236	55.2814984519	55.0922623489	62.3298064918	53.7500950118
310.0	31.9364410883	55.1654375049	55.4349130277	62.748254258	53.416330331
315.0	32.3367110851	54.3406316372	55.3924641718	58.7126150989	53.8823284787
320.0	32.0254420021	55.2925144935	56.7041435477	59.2706008898	52.3166694433
325.0	31.5918040765	56.4570796646	56.3861039637	56.8612669957	52.5465520477
330.0	31.0915675444	56.0968929971	58.0914373913	61.3545055446	51.9231087296
335.0	31.2802034452	55.3644522561	57.1101902749	63.4637627558	52.9504502515
340.0	31.1724955395	54.7352736491	56.5330532766	63.1272374901	54.3481460198
345.0	31.3632475347	55.8267540687	53.7193860288	58.6166442032	55.8585486455
350.0	31.7712217577	54.2478688542	55.1603773528	63.4013445232	54.8461458156
355.0	31.8836393771	54.825557493	54.3762464745	63.7329092274	54.7161591599
360.0	30.877299189	55.3525344987	55.2364861909	59.3227507762	55.8686854732
365.0	31.5601642443	55.6927788978	54.9639411641	57.4047283294	54.5997305719
370.0	31.278377598	55.870653335	53.7290511537	59.8265970764	55.8546594084
375.0	30.8220291397	56.1236935315	54.8836954585	57.4990470355	55.7079006533
380.0	31.2032029568	56.9568738822	55.2309972096	62.1488118665	53.3348467021
385.0	31.4077351892	56.0710908013	55.1370826528	62.4421975025	53.8667195701
390.0	30.4686433732	55.7130086337	56.2845789369	64.9217496941	54.822305667
395.0	30.2917036611	55.2775189323	56.2460411539	67.8058106082	55.3578921719
400.0	30.0796239154	57.111385805	54.6798503448	60.9571517003	56.0426374489
405.0	30.6302399097	56.3522463767	55.2430401477	61.4767913359	55.141714286
410.0	31.1260660428	55.3855239695	55.7468935096	61.9278584652	54.6182276371
415.0	30.806533197	56.1928525484	55.6311806349	68.1022376999	53.9367085714
420.0	30.4563364706	56.8342515155	55.5894712504	63.7344386059	54.4700515199
425.0	30.7336105389	56.6394904505	57.4317150987	63.2739386	52.4982251996
430.0	30.4848200934	56.6396705254	55.8893506224	61.4385496994	54.5671936513
435.0	30.1606093339	56.912204857	55.2118188866	60.875033877	55.6092902249
440.0	30.4675775166	56.5424465781	56.7896689887	63.3412588897	53.6984551601
445.0	29.8868776956	56.3680502532	57.1253804164	59.8594674271	55.0802597345
450.0	30.4891357976	56.4770793708	55.1282980168	63.3143089643	55.2186326213
455.0	30.1293687242	56.9679326275	56.1075629383	63.7449462541	54.5229335852
460.0	30.2781775907	57.5820370606	56.2341635994	61.6188833225	53.7098845032
465.0	31.4982746038	57.7373228782	53.4580519121	61.4337123887	53.6314236955
470.0	30.461096124	57.4614616199	55.1997417214	67.463654297	53.8110429077
475.0	31.5064956707	55.9081624443	54.0300731538	64.5292494365	54.6197257585
480.0	31.2619744705	55.7510367739	54.9596660383	65.2845227568	54.353773104
485.0	30.846080423	55.6590640993	56.075641003	68.0290278375	53.9985848902
490.0	30.1366661731	55.6008507552	56.4713287836	65.9976350933	55.3226881279
495.0	31.2300889762	55.729181258	53.3990845297	62.3946656038	56.1328697558
500.0	30.2127138565	55.0788305004	56.6205076692	61.5974428119	55.9984158949
505.0	30.6721501032	55.4855503016	55.6956219639	65.6268705417	55.1023088526
510.0	30.2473827086	56.0807632694	55.9854929525	65.8662016847	55.0718069665
515.0	31.6820110724	55.9336051445	55.7821861942	64.4478504776	52.6744256068
520.0	30.3205030234	56.1308341243	56.7270252507	66.0135349281	54.1933034945
525.0	30.626045139	55.6496016646	56.7703835689	63.7504587643	54.2508239276
530.0	30.0446800127	57.0287104443	55.4518273269	65.6375788203	55.0324431407
535.0	30.2007482364	56.4212467707	55.5009256513	65.6216276128	55.2851870909
540.0	30.5366631718	56.766354688	55.9123505983	62.3224128551	54.2279285168
545.0	30.7884715073	56.8346636762	56.0290786258	64.2749036233	53.3555996901
550.0	30.4456044361	56.9295090936	56.6487477714	67.5280549865	53.063508709
555.0	29.9203699838	57.8160989534	56.306585615	70.9186550328	53.1962370892
560.0	30.0456553196	56.4966562986	57.102239663	64.4892195272	54.1920025739
565.0	30.5511732283	56.5007092198	55.9672640778	69.3358564725	53.7137199378
570.0	31.0560009105	55.4066353385	55.1390463018	71.2587497103	54.3513233038
575.0	31.5313520043	55.2123108885	55.446635828	65.7862374706	53.8652194788
580.0	30.0747461343	56.534366614	57.4685359147	65.2511009162	53.6902808869
585.0	29.920952016	57.1805606654	54.8922134249	65.6517516284	55.6302584293
590.0	29.8735104693	55.7979798138	55.2292841954	67.1023665095	56.6593318689
595.0	29.8299435237	55.2207370273	55.7176135043	65.0628159647	57.0881419165
600.0	29.4729692211	57.4632038631	54.7372519946	66.1508066641	56.3331171842
605.0	30.1542944247	57.9001124998	54.1653802307	63.2265254269	55.3406277492
610.0	30.8614956677	55.9982936836	53.6358801061	63.5538652374	56.27187635
615.0	30.3098572254	56.7741138438	54.2551272586	58.6484864981	56.5325586175
620.0	31.3153892962	54.5332016924	53.9037025798	57.4426456206	57.1993745762
625.0	31.3435820114	56.5908863813	53.0929156149	60.0752295285	55.5517359929
630.0	30.8706505455	54.7126200258	53.563545402	63.6452851074	57.5951648893
